CellType	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10
Lung_AT1	0.11885436	0.06523009	0.09758009	0.02694446	0.0281043	0.01282495	0.02847841	0.47183814	0.01182471	0.1383205
Lung_AT2	0.04793308	0.0153708	0.00836765	0.01307286	0.02090395	0.00240434	0.01131821	0.83680285	0.00103309	0.04279316
Lung_B	0.0	0.03943245	0.02966956	0.00305668	0.15672238	0.02919338	0.01612911	0.02269449	0.27894681	0.42415514
Lung_CD103__cDC1	0.26090187	0.02701092	0.06816558	0.00850435	0.15939933	0.01244341	0.00978269	0.10580027	0.22618386	0.12180773
Lung_CD11b__cDC2	0.13486552	0.04614352	0.03361156	0.01528028	0.0957092	0.01570252	0.03492661	0.03548916	0.41951124	0.16876038
Lung_Ciliated	0.07354533	0.01514301	0.01467423	0.00736319	0.01195071	0.0011719	0.01752057	0.04240698	0.0	0.81622409
Lung_Club	0.75535417	0.02167639	0.01693897	0.00679608	0.01432699	0.0092666	0.02213986	0.04780456	0.00315628	0.10254011
Lung_EC_aerocyte	0.03448236	0.04255713	0.08638243	0.02688322	0.02954136	0.67624174	0.05516747	0.01075394	0.01876722	0.01922314
Lung_EC_gCap	0.03351054	0.02352144	0.12247596	0.02603687	0.00864706	0.72295185	0.04617767	0.0055365	0.00846841	0.00267371
Lung_EC_lymphatic	0.02258644	0.00885033	0.87490167	0.0	0.00596043	0.01703362	0.01152252	0.01508269	0.00428358	0.03977872
Lung_EC_vascular	0.05031537	0.06136789	0.28051619	0.0379584	0.04278998	0.33752582	0.06273715	0.03558162	0.02055827	0.0706493
Lung_Fib_WNT2_Pα	0.0170082	0.08029578	0.03746231	0.6251519	0.01108633	0.01841179	0.10629901	0.08143939	0.00147402	0.02137125
Lung_MANC	0.04409589	0.0620587	0.04514143	0.08873721	0.02519027	0.02533791	0.61677995	0.02531877	0.01113747	0.05620239
Lung_Mesothelial	0.03683173	0.73365343	0.03649049	0.03940851	0.02090607	0.01454865	0.04814283	0.03007586	0.00482876	0.03511369
Lung_Monocyte	0.08539498	0.03848939	0.01407939	0.01550063	0.2120026	0.07167915	0.0773315	0.14379816	0.31904945	0.02267475
Lung_NK	0.08537787	0.03570959	0.03498015	0.0	0.01232063	0.04027792	0.01494061	0.0	0.11564642	0.66074681
Lung_Neutrophil	0.05046614	0.12360044	0.03007522	0.01363099	0.03423663	0.05749638	0.00698579	0.12044999	0.50920169	0.05385671
Lung_Pericyte	0.02692299	0.10358941	0.50825739	0.13124585	0.00325971	0.08675107	0.08543551	0.03330576	0.0038318	0.01740051
Lung_SMC	0.04983488	0.06722851	0.1059054	0.53583687	0.01636094	0.01905604	0.13954202	0.01433692	0.00072611	0.05117231
Lung_T	0.02710096	0.03782086	0.03767961	0.01979537	0.02511731	0.05507882	0.03791982	0.01031796	0.05085558	0.69831372
Lung_aM	0.05039223	0.03904302	0.01690548	0.01102888	0.66148473	0.01723629	0.03748899	0.07831349	0.02405161	0.0640553
Lung_iM	0.04878008	0.03204018	0.08725504	0.0024973	0.06741118	0.04374695	0.09367166	0.03556533	0.51230294	0.07672935
