TF	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10
Afp	0.99037412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ahr	0.17094773	0.0608978	0.21890606	0.0	4.13e-06	0.28380686	0.0	0.0	0.2487233	0.01312251
Alx1	0.0	0.0	0.0	0.23140191	0.0	0.0	0.0	0.31758317	0.11567693	0.33278615
Alx4	0.0	0.00309523	0.22630784	0.38863981	0.0	0.0678109	0.25988005	0.05177435	0.0	0.0
Ar	0.0	0.0	0.0	0.36901338	0.0	0.2681164	0.34146676	0.00572912	0.0	0.01142249
Arhgef12	0.90465142	0.0	0.00613205	0.0	0.0	0.0	0.0	0.052199	0.0	0.02600041
Arid5a	0.0	0.0	0.02196074	0.0	0.0	0.10770805	0.0	0.0	0.86223752	0.0
Arnt	0.14781998	0.15104298	0.06594348	0.12108653	0.1485822	0.01520952	0.12559167	0.10900037	0.09888772	0.01548141
Arnt2	0.0	0.29623153	0.02689509	0.13303949	0.0	0.0	0.26516208	0.0	0.19390991	0.08212894
Arntl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99173356	0.0	0.0
Arntl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Atf2	0.0	0.0	0.0	0.0	0.0	0.98118394	0.0	0.0	0.0	0.0
Atf3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Atf4	0.99150722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Atf5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Atf6	0.29602674	0.0	0.04096268	0.0	0.11935572	0.0	0.0	0.0	0.49772992	0.0
Atf6b	0.29891597	0.0	0.04136295	0.0	0.12052118	0.0	0.0	0.0	0.50258625	0.0
Atf7	0.0	0.0	0.0	0.0	0.0	0.98677751	0.0	0.0	0.0	0.0
Barhl1	0.0	0.0	0.0	0.07156426	0.0	0.0	0.40945515	0.0	0.0	0.51489535
Barhl2	0.0	0.80657627	0.0	0.0	0.0	0.0	0.0	0.00387515	0.18241962	0.0
Barx1	0.0	0.0	0.0	0.39517713	0.0	0.0	0.58653265	0.01255016	0.0	0.0
Barx2	0.0	0.0	0.04529548	0.0	0.0	0.0	0.0	0.0	0.94484595	0.0
Batf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Batf3	0.0	0.0	0.0	1.079e-05	0.0	0.0	0.88785537	0.0	0.0	0.01977525
Bbx	0.0	0.0	0.0	0.0	0.0	0.0069554	0.0	0.0	0.05241641	0.58539123
Bcl2	0.0	0.0	0.0	0.96456296	0.0	0.0	0.0	0.02165377	0.0	0.0
Bdp1	0.0	0.0	0.01769027	0.0	0.0	0.03270886	0.0	0.28198039	0.0	0.6626421
