TF	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10
Afp	-40246.99510903507	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Ahr	-40246.99510903507	-2.2704963480436997	-73973.22298941846	-3.668091859470831	-4.013126753999025	-103740.74381621314	-4.5841654882077	-4.964069223142754	-22764.023418888097	-3.4081885524503694
Alx1	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-38362.016172087155	-4.013275059848594	-7.457732789813321	-4.5841654882077	-75568.90807569148	-0.26972131263104915	-57511.31147960366
Alx4	-3.7666120623555135	-5.106598557553288	-73973.22298941846	-38362.016172087155	-4.013275059848594	-0.423485590696421	-40391.08785111857	-1.0517951026298158	-2.9026579134742634	-4.162826728528812
Ar	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-38362.016172087155	-4.013275059848594	-103740.74381621314	-40391.08785111857	-4.531154161830788	-2.9026579134742634	-3.505951871748979
Arhgef12	-40246.99510903507	-5.258466937861692	-4.9111072861898	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-1.0197068728829055	-2.9026579134742634	-2.6676174301305884
Arid5a	-3.7666120623555135	-5.258466937861692	-3.740292772220366	-3.668091859470831	-4.013275059848594	-103740.74381621314	-4.5841654882077	-4.964069223142754	-22764.023418888097	-4.162826728528812
Arnt	-40246.99510903507	-49070.5836083942	-0.4869840774483106	0.9765874683983199	1.3214621314518302	-5.8799993435106	0.4880430838555983	-75568.90807569148	-0.6518625427156997	-3.27253474309883
Arnt2	-3.7666120623555135	-49070.5836083942	-3.3753100771795848	1.4350833887848033	-4.013275059848594	-7.457732789813321	-40391.08785111857	-4.964069223142754	1.5109490720122394	0.5601746263910203
Arntl	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-75568.90807569148	-2.9026579134742634	-4.162826728528812
Arntl2	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Atf2	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-103740.74381621314	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Atf3	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Atf4	-40246.99510903507	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Atf5	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Atf6	-40246.99510903507	-5.258466937861692	-2.334760104521831	-3.668091859470831	0.27210635613072154	-7.457732789813321	-4.5841654882077	-4.964069223142754	-22764.023418888097	-4.162826728528812
Atf6b	-40246.99510903507	-5.258466937861692	-2.305153010273339	-3.668091859470831	0.3139514228211088	-7.457732789813321	-4.5841654882077	-4.964069223142754	-22764.023418888097	-4.162826728528812
Atf7	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-103740.74381621314	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Barhl1	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-0.923005089322339	-4.013275059848594	-7.457732789813321	-40391.08785111857	-4.964069223142754	-2.9026579134742634	-57511.31147960366
Barhl2	-3.7666120623555135	-49070.5836083942	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.671247234281109	1.2494169856820923	-4.162826728528812
Barx1	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-38362.016172087155	-4.013275059848594	-7.457732789813321	-40391.08785111857	-4.015729916929968	-2.9026579134742634	-4.162826728528812
Barx2	-3.7666120623555135	-5.258466937861692	-2.0142724025764216	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-22764.023418888097	-4.162826728528812
